ordem,bloco,quem,organizacao,nome,texto
1,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Olá, boa noite a todos!"
2,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,"Boa noite. A partir de agora, você acompanha um encontro histórico nos estúdios da Band em São Paulo, em uma parceria do Grupo Bandeirantes com a TV Cultura, o jornal Folha de S.Paulo e UOL. Começa, nesse instante, o primeiro debate de 2022 entre candidatos à Presidência da República."
3,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Faltando 35 dias para o primeiro turno, o eleitor tem a oportunidade inédita de ver lado a lado, ouvir e comparar os concorrentes ao Palácio do Planalto. O debate também é transmitido ao vivo pelas rádios Bandeirantes, Band News FM, pelo Band News TV, além da Band Internacional e também as plataformas digitais."
4,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,"Em nome de todos integrantes do pool, nós agradecemos a presença, aqui no estúdio, dos candidatos: Felipe D'Ávila, do NOVO; Luiz Inácio Lula da Silva, do PT; Simone Tebet, do MDB; Jair Bolsonaro, do PL; Soraya Thronicke, do União Brasil; e Ciro Gomes, do PDT."
5,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Eu lembro que, em caso de ofensa pessoal ou moral, o candidato pode pedir direito de resposta assim que terminar o tempo de quem estiver com a palavra, basta fazer um sinal para os mediadores."
6,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,"Que uma comissão presente na Band formada por um advogado e dois jornalistas vai avaliar a solicitação no mesmo bloco. Caso concedido, o tempo será de 45 segundos."
7,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Como acertado previamente com as campanhas, não temos público aqui neste estúdio, mas, para receber convidados e jornalistas, a Band montou uma sala digital com dados exclusivos, em parceria com o Google e YouTube."
8,PRIMEIRO,Imprensa,Band,Eduardo Oinegue,"E você pode acessar as mesmas informações apontando o celular para esse código que aparece na tela. Será possível acompanhar em tempo real gráficos com a repercussão e temas mais buscados. O debate é transmitido também no Band Play, band.com.br e canal Band Jornalismo do YouTube."
9,PRIMEIRO,Imprensa,Band,Adriana Araújo,"Vamos acompanhar agora, então, como será a dinâmica desse debate com as regras que foram aprovadas em reunião com todos os partidos."
10,PRIMEIRO,Imprensa,Não identificado,Repórter,"No primeiro bloco, cada candidato, por ordem de sorteio, tem um minuto e meio para responder a uma pergunta sobre planos de governo. Serão três perguntas diferentes, cada uma direcionada a dois dos candidatos. Na sequência, também em ordem definida por sorteio, a primeira rodada de confronto direto. Todos perguntam e todos respondem. O candidato escolhe quem vai responder e tem um minuto para a pergunta e um minuto para a réplica. O tempo de resposta e de tréplica será de quatro minutos no total, a ser administrado pelo próprio candidato. No segundo bloco, jornalistas das empresas integrantes do pool fazem perguntas para os candidatos, escolhendo quem vai responder e quem vai comentar. O tempo é de quatro minutos para a resposta e a réplica, a ser administrado pelo candidato. O comentário tem um minuto. Todos respondem e todos comentam. O terceiro bloco será mediado pelos jornalistas Leão Serva, da TV Cultura, e Fabíola Cidral, do UOL, e começa com mais uma rodada de confronto direto entre os candidatos, seguindo as mesmas regras do primeiro bloco. Na sequência, os candidatos respondem perguntas programáticas. Serão três perguntas diferentes, cada uma direcionada a dois dos candidatos. Depois disso, os candidatos terão dois minutos cada para suas considerações finais."
